Nummer ;Kookkurrent;Frequenz;Co-Frequenz;Kookkurrenzwert;Mittlerer Abstand
1;i;11351;185;41;2,6
2;campagne;131;28;36;2,2
3;selve;259;27;26;2,3
4;monti;419;30;24;3
5;folto;37;14;22;0,1
6;folti;28;13;22;0,3
7;colli;323;26;22;2,7
8;prati;102;18;21;2,2
9;ombrosi;49;14;20;0,6
10;questi;1076;39;20;2,3
11;verdi;284;21;17;3,1
12;ombroso;50;12;16;1,5
13;sassi;203;18;16;3,5
14;fiumi;315;20;15;3,7
15;fonti;203;17;15;3,4
16;e;86639;602;14;3,9
17;dumi;33;9;13;3
18;fronde;390;19;12;3
19;piagge;142;13;12;3,6
20;o;11781;121;12;3,6
21;poggi;98;11;11;4,1
22;l'erbe;172;13;11;5,3
23;antri;48;8;9;3
24;montagne;37;7;9;2,9
25;rive;252;13;9;3,2
26;valli;166;11;8;3,2
27;fiere;95;9;8;3,4
28;fere;187;11;8;2,9
29;prato;144;10;8;2,9
30;campi;293;13;8;3,1
31;foschi;54;7;7;4,7
32;tra;2120;33;7;3,2
33;campagna;42;6;7;3,2
34;apriche;24;5;6;3,6
35;cani;46;6;6;4,3
36;per;15151;124;6;3
37;animal;100;7;6;4,1
38;fera;391;12;6;3,4
39;valle;201;9;5;2
40;le;13962;113;5;4,9
41;grotte;41;5;5;2
42;vo;680;15;5;3,7
43;fontane;20;4;5;4
44;colle;232;9;5;3,3
45;pastor;300;10;5;5,9
46;spelonche;22;4;5;1,8
47;sioltto;7;3;5;5
48;solitario;48;5;5;5,4
49;fior;733;15;5;5,6
50;sin;92;6;5;6,7
51;lupi;55;5;5;3,6
52;rivi;96;6;5;5,3
53;conoschi;9;3;4;2,7
54;armenti;99;6;4;3,8
55;pastori;99;6;4;4,5
56;boschi;282;9;4;3,9
57;erbe;106;6;4;4,2
58;fresche;106;6;4;5,5
59;piaggie;31;4;4;1,2
60;selvaggi;32;4;4;1,5
61;';33696;224;4;3,6
62;confortomi;2;2;4;3,5
63;covil;2;2;4;3,5
64;empiva;2;2;4;1,5
65;incantatrice;2;2;4;4
66;recai;2;2;4;1,5
67;spiagge;2;2;4;0,5
68;ullule;2;2;4;3
69;cacciata;12;3;4;2
70;alpe;35;4;4;3
71;frondosi;13;3;4;4
72;diana;76;5;4;3,6
73;all'ombra;79;5;4;4,2
74;calli;15;3;4;3,3
75;alpestri;42;4;4;2,2
76;deserte;16;3;4;1
77;arbusti;3;2;4;3,5
78;silvaggi;3;2;4;4
79;ninfe;199;7;4;4,6
80;monte;521;11;4;2,9
81;alti;436;10;4;2,2
82;quant;47;4;4;5,5
83;caverne;18;3;4;3,3
84;frondi;212;7;3;2,1
85;rozzi;20;3;3;2
86;ucelli;20;3;3;2
87;bosco;154;6;3;2,8
88;orato;4;2;3;4,5
89;pasciute;4;2;3;0
90;fra;2172;25;3;2,7
91;pe;54;4;3;0,8
92;zefiro;56;4;3;5,8
93;mirti;57;4;3;3
94;amori;165;6;3;4,2
95;d'elicona;23;3;3;5,3
96;scarno;24;3;3;5,7
97;selvagge;24;3;3;2,7
98;inospiti;5;2;3;0
99;udite;61;4;3;2,2
100;città;173;6;3;3,5
101;un;7675;62;3;3,1
102;soggiorno;250;7;3;3,7
103;disperso;27;3;3;2,7
104;ramo;118;5;3;2,2
105;conche;6;2;3;3,5
106;critti;6;2;3;1,5
107;crollar;6;2;3;0,5
108;discacciar;6;2;3;0,5
109;fuggiro;6;2;3;3,5
110;ocelli;6;2;3;2
111;poverella;6;2;3;1,5
112;in;25194;165;3;3,4
113;verde;749;12;3;2,1
114;fioriti;31;3;3;1,7
115;seggi;31;3;3;3
116;roze;7;2;3;0,5
117;silvestri;7;2;3;0
118;sera;282;7;3;5,7
119;pendici;8;2;3;4,5
120;correnti;36;3;3;3
121;ville;36;3;3;4,3
122;chiudon;9;2;3;0,5
123;guidò;9;2;3;2
124;orrendi;9;2;3;1
125;ragi;9;2;3;0,5
126;ruscelletti;9;2;3;2
127;sfronda;9;2;3;0,5
128;sterpi;38;3;3;2,3
129;sanno;88;4;2;3
130;notte;930;13;2;5,1
131;àn;10;2;2;2,5
132;udiste;10;2;2;3
133;augelli;90;4;2;3
134;stilla;90;4;2;2,2
135;piaggia;92;4;2;3,5
136;arbori;42;3;2;4,7
137;fontana;42;3;2;1,7
138;spende;42;3;2;5
139;li;1316;16;2;2,7
140;lauri;93;4;2;3,5
141;bifolchi;11;2;2;2,5
142;ondosi;11;2;2;3,5
143;scalza;11;2;2;1
144;s'ode;44;3;2;5
145;tosco;164;5;2;5,8
146;freschi;45;3;2;4
147;abita;12;2;2;1,5
148;favello;12;2;2;2,5
149;ameno;46;3;2;4
150;cercando;167;5;2;2,6
151;piangendo;339;7;2;4,1
152;selvaggio;48;3;2;0
153;capanna;13;2;2;1
154;latrar;13;2;2;3
155;quercie;13;2;2;0,5
156;stagni;13;2;2;3,5
157;nata;104;4;2;0,2
158;acque;177;5;2;2,8
159;ninfa;177;5;2;2,8
160;corni;14;2;2;2,5
161;sterpo;14;2;2;3,5
162;faggi;52;3;2;2
163;fiume;458;8;2;5,4
164;cittadin;15;2;2;1,5
165;d'uomini;15;2;2;3,5
166;morisse;15;2;2;4
167;nympha;15;2;2;1,5
168;riposte;15;2;2;1,5
169;odorati;16;2;2;0
170;spelonca;16;2;2;1
171;tòsco;16;2;2;2,5
172;alle;369;7;2;4,4
173;aura;192;5;2;4,6
174;giorno;1704;18;2;4,7
175;ombrose;58;3;2;3
176;frondoso;17;2;2;1
177;involve;17;2;2;0
178;ripe;17;2;2;2,5
179;riveste;17;2;2;0,5
180;vezzoso;17;2;2;4,5
181;cacciator;18;2;2;2
182;ignudi;18;2;2;3
183;ombra;390;7;2;4,9
184;giova;295;6;2;4,3
