Nummer ;Kookkurrent;Frequenz;Co-Frequenz;Kookkurrenzwert;Mittlerer Abstand
1;piagge;142;34;36;2,7
2;campagne;131;33;35;3,3
3;giogo;213;34;29;2,7
4;sette;117;27;28;0,1
5;i;11351;244;27;3,3
6;valli;166;26;22;3,4
7;valle;201;27;21;4
8;questi;1076;52;19;1,8
9;monti;419;32;18;2,7
10;rive;252;26;17;3,4
11;verdi;284;27;17;2,7
12;ombrosi;49;14;16;2,6
13;aprici;22;11;16;0,8
14;boschi;282;25;15;3,2
15;fiumi;315;23;12;3,5
16;selve;259;21;12;3,1
17;monte;521;28;12;3,2
18;e;86639;1045;11;4,1
19;colle;232;19;11;3
20;fioriti;31;9;10;0,4
21;molli;109;13;10;4,9
22;piano;218;17;10;3
23;alti;436;22;9;1,8
24;apriche;24;7;8;2,3
25;prati;102;11;8;3,1
26;aprico;27;7;8;1
27;lieti;329;18;8;2,1
28;intorno;943;31;8;2,5
29;braccia;164;13;7;2,3
30;toschi;50;8;7;1,2
31;roma;407;19;7;4
32;bel;4071;76;6;3,2
33;verde;749;25;6;2,6
34;ideo;7;4;6;0
35;ove;2262;49;6;3,1
36;ombroso;50;7;6;3
37;colla;100;9;6;3
38;euganei;4;3;5;0
39;colli;323;14;5;4,4
40;fonti;203;11;5;4,8
41;tebro;203;11;5;5,5
42;campi;293;13;5;4,5
43;spalle;137;9;5;2
44;ameni;15;4;4;0,2
45;spada;218;11;4;2,8
46;piaggie;31;5;4;1,6
47;dove;1963;40;4;3,6
48;menando;17;4;4;2,2
49;ombrose;58;6;4;4,3
50;montagne;37;5;4;4
51;ninfe;199;10;4;4,2
52;adunca;7;3;4;0,7
53;schi;7;3;4;2,7
54;ulivo;7;3;4;3,7
55;parnaso;162;9;4;2,4
56;piaggia;92;7;4;2,3
57;al;13857;183;4;3,1
58;molle;167;9;4;5,1
59;neve;400;14;4;3,9
60;bei;796;21;4;0,9
61;d'erba;22;4;4;2,2
62;fiume;458;15;4;3,7
63;dolci;1121;26;4;3
64;billi;2;2;4;4
65;coll'inchiostro;2;2;4;1,5
66;inquieto;2;2;4;1,5
67;ovra;2;2;4;1
68;purgâr;2;2;4;2,5
69;s'inchinâr;2;2;4;2,5
70;boschetti;10;3;3;1,7
71;antri;48;5;3;3,4
72;catena;113;7;3;2,3
73;laccio;194;9;3;3,3
