Nummer ;Kookkurrent;Frequenz;Co-Frequenz;Kookkurrenzwert;Mittlerer Abstand
1;monti;419;56;47;3,2
2;fonti;203;42;44;2,6
3;i;11351;247;39;2,8
4;fonte;553;46;30;3
5;mari;64;20;25;1,6
6;valli;166;25;23;4
7;re;682;40;20;2,4
8;colli;323;29;20;3,7
9;rivi;96;19;20;1,8
10;selve;259;26;19;3,6
11;mar;1187;46;16;3,3
12;e;86639;944;16;4,1
13;l'onde;503;30;15;2,8
14;d'eloquenza;16;9;14;0,6
15;boschi;282;22;14;3,9
16;correnti;36;11;14;0,2
17;torrenti;26;10;14;2,4
18;montagne;37;11;14;1,8
19;un;7675;132;13;2,3
20;laghi;33;10;12;1,4
21;riva;364;23;12;3,4
22;o;11781;177;12;3
23;campagne;131;15;12;2,7
24;largo;296;20;11;0,4
25;piagge;142;15;11;3,3
26;sassi;203;17;11;3,4
27;lumi;554;26;11;5,3
28;dumi;33;9;11;5,6
29;rapido;54;10;10;0,4
30;monte;521;24;10;4
31;lago;39;9;10;3,9
32;fontane;20;7;9;1,9
33;stagni;13;6;9;2,5
34;larghi;37;8;9;0,6
35;d'arno;75;10;9;0
36;corrente;28;7;8;0,7
37;vena;141;12;8;4
38;acque;177;13;8;4,2
39;latte;116;11;8;2,4
40;rapidi;18;6;8;3,7
41;costume;300;16;8;5,1
42;paludi;10;5;8;2,8
43;tosco;164;12;7;1,3
44;superbo;232;13;7;1,9
45;consume;70;8;6;5
46;lume;1257;31;6;5,9
47;ripe;17;5;6;2,2
48;consumi;103;9;6;4,8
49;campi;293;14;6;4
50;ruscelli;19;5;6;2,2
51;fiume;458;17;6;4,7
52;bel;4071;66;6;2,3
53;dall'alpi;3;3;6;1,3
54;sem;9;4;6;4,8
55;de;11018;141;6;3,6
56;sponde;118;9;6;3
57;ninfe;199;11;5;4,9
58;piaggia;92;8;5;5,1
59;picol;41;6;5;1,2
60;il;32222;346;5;4,2
61;arbori;42;6;5;4,7
62;l'acque;292;13;5;4,2
63;fulminato;11;4;5;3,8
64;addolorati;4;3;5;5,7
65;corso;586;18;5;4,3
66;fiumi;315;13;5;5,3
67;foce;14;4;5;4
68;sul;380;14;5;1,4
69;cristalli;31;5;5;1,2
70;tutti;1165;26;5;3,4
71;valle;201;10;5;4,2
72;chiari;404;14;5;2,3
73;le;13962;164;5;4,8
74;corri;35;5;4;2,6
75;rive;252;11;4;3,7
76;ragiono;92;7;4;6
77;l'erbe;172;9;4;4,8
78;altero;367;13;4;1,8
79;pioggia;264;11;4;3,4
80;sanguigno;19;4;4;0,2
81;del;10388;127;4;3,6
82;piume;220;10;4;5,7
83;poggi;98;7;4;3,4
84;duo;321;12;4;2,4
85;querce;42;5;4;2,8
86;versa;71;6;4;2,7
87;tempra;111;7;4;0,9
88;ruscelletti;9;3;4;1,3
89;fetonte;78;6;4;5,7
90;ombrosi;49;5;4;3,8
91;eloquenza;26;4;4;3
92;lagrimosi;26;4;4;0
93;purgati;26;4;4;1,8
94;occhi;3684;54;4;4,4
95;arrestò;2;2;4;0,5
96;cimbrico;2;2;4;2,5
97;gl'insuperbiti;2;2;4;0
98;l'asperse;2;2;4;1
99;l'avverso;2;2;4;4
100;letèo;2;2;4;0
101;licenziosi;2;2;4;0,5
102;merse;2;2;4;2
103;mintio;2;2;4;2
104;pioppe;2;2;4;3,5
105;proprî;2;2;4;2,5
106;purgâr;2;2;4;0,5
107;rivalto;2;2;4;1,5
108;scordossi;2;2;4;1,5
109;spiaccio;2;2;4;2,5
110;torbi;2;2;4;1
111;voltârsi;2;2;4;3,5
112;piangieti;11;3;4;5,3
113;rivo;87;6;4;2,7
114;odite;12;3;3;1
115;altiero;58;5;3;2,2
116;lete;96;6;3;2,5
117;deriva;62;5;3;2,2
118;sebeto;63;5;3;5,6
119;delitti;3;2;3;3,5
120;fermansi;3;2;3;1
121;gonfiando;3;2;3;4
122;pallidi;3;2;3;0
123;verdeggiare;3;2;3;3,5
124;cantate;36;4;3;3,5
125;cupo;15;3;3;0
126;dillo;15;3;3;3,7
127;alpestre;37;4;3;2
128;ber;39;4;3;3
129;corron;17;3;3;0
130;cigno;112;6;3;4,3
131;bacchiglione;4;2;3;2,5
132;curvi;4;2;3;1,5
133;d'arene;4;2;3;3
134;derivar;4;2;3;4,5
135;ond’i;4;2;3;3,5
136;regai;4;2;3;0
137;cristallo;75;5;3;4
138;sorger;18;3;3;2
139;spregiando;18;3;3;2,7
140;pianto;1492;26;3;3,3
141;bagna;117;6;3;4,3
142;accompagna;19;3;3;5,3
143;lacrimoso;19;3;3;2,7
144;bagni;45;4;3;2,2
145;s'asconda;20;3;3;5
146;bembo;81;5;3;3,6
147;liquidi;21;3;3;1,3
148;d'eloquenzia;5;2;3;1,5
149;distempri;5;2;3;4
